id,category,equipment_id,suite,description,amount,funding_source,year,status,om_rate,notes,quote_reference
1,renovation,1,1,Renovations & Fit-Out (CIU/CRU Equipment Integration),200000,CFI/institutional,0,estimated,,Capital - reduced; major renovation allocated to CHIM (Suite 1a),
2,equipment,2,1,Secure IP Pharmacy Storage (Temp-monitored),100000,CFI/institutional,0,estimated,,Capital,
3,equipment,3,1,Automated Dispensing Cabinets,200000,CFI/institutional,0,estimated,,Capital,
4,equipment,4,1,Vital Sign Monitors (High Acuity - Adult CIU),260000,CFI/institutional,0,estimated,,Capital - includes $60K reallocated from Pediatric CIU (Stollery has existing),
5,equipment,5,1,Programmable Infusion Pumps (Adult CIU),140000,CFI/institutional,0,estimated,,Capital - includes $40K reallocated from Pediatric CIU (Stollery has existing),
6,equipment,6,1,Resuscitation Equipment (Crash Carts/Defibs),100000,CFI/institutional,0,estimated,,Capital,
7,equipment,7,1,Point-of-Care Lab Analyzers,200000,CFI/institutional,0,estimated,,Capital,
8,equipment,8,2,Automated Liquid Handling System,650000,CFI/institutional,0,estimated,,Capital,suite_2_biorepository/hamilton_tecan_liquid_handler.md
12,equipment,12,2,Ultra-Low Temp Freezers (-80C),200000,CFI/institutional,0,estimated,,Capital,suite_2_biorepository/thermofisher_tsx_freezers.md
13,equipment,13,2,LN2 Vapour-Phase Storage System,200000,CFI/institutional,0,estimated,,Capital,suite_2_biorepository/chart_mve_ln2_dewars.md
14,equipment,14,2,Class II Biosafety Cabinets,90000,CFI/institutional,0,estimated,,Capital,suite_2_biorepository/baker_nuaire_bsc.md
15,equipment,15,2,Refrigerated Centrifuges (Biocontainment),100000,CFI/institutional,0,estimated,,Capital,suite_2_biorepository/beckman_avanti_centrifuges.md
16,equipment,16,2,Environmental Monitoring System,140000,CFI/institutional,0,estimated,,Capital,suite_2_biorepository/rees_vaisala_monitoring.md
17,equipment,17,2,Clinical Grade Microscopes & Counters,70000,CFI/institutional,0,estimated,,Capital,suite_2_biorepository/keyence_countess_microscopy.md
18,equipment,18,3,High-Throughput Imaging Cytometer - REMOVED (TMIC service agreement),0,CFI/institutional,0,removed,,Removed - use TMIC partnership; Suite 3 is integration not instrumentation,
19,equipment,19,3,Cryo-EM Sample Prep - REMOVED (ACE Core service agreement),0,CFI/institutional,0,removed,,Removed - use ACE Core partnership; Suite 3 is integration not instrumentation,
20,equipment,20,3,Plunge Freezers & Grid Prep - REMOVED (ACE Core service agreement),0,CFI/institutional,0,removed,,Removed - use ACE Core partnership; Suite 3 is integration not instrumentation,
21,equipment,21,3,UHPLC Systems - REMOVED (use TMIC partnership),0,CFI/institutional,0,removed,,Removed - TMIC has 50K samples/year capacity; service agreement instead,
22,equipment,22,3,High-Throughput Autosamplers - REMOVED (TMIC service agreement),0,CFI/institutional,0,removed,,Removed - use TMIC partnership; Suite 3 is integration not instrumentation,
23,equipment,23,3,Cold-Chain Logistics Equipment,200000,CFI/institutional,0,estimated,,Capital,
24,equipment,24,4,GPU-Enabled Secure Compute Nodes - REMOVED (SDRE provides),0,CFI/institutional,0,removed,,Removed - SDRE provides GPU compute infrastructure; avoids duplication,suite_4_data_platform/aws_cloud_bedrock.md
25,equipment,25,4,Secure Storage Nodes (On-Prem) - REMOVED (SDRE provides),0,CFI/institutional,0,removed,,Removed - SDRE provides secure storage infrastructure; avoids duplication,suite_4_data_platform/secure_storage_nodes.md
26,equipment,26,4,Networking & Security Core,180000,CFI/institutional,0,estimated,,Capital,suite_4_data_platform/networking_security.md
