id,suite_number,suite_name,item_name,description,model_example,quantity,unit_cost,total_cost,vendor,quote_status,quote_file,dimensions,weight_kg,power_requirements,special_requirements,space_id,installation_status,justification,status,flag_reason,item_category
1,1,Clinical Trials Participant & Procedure Infrastructure,Renovations & Fit-Out (Cleanrooms/Procedure Rooms),,Custom Engineering/Construction,1,800000,800000,,needed,,,,,,,planning,,confirmed,,renovation
2,1,Clinical Trials Participant & Procedure Infrastructure,Secure IP Pharmacy Storage (Temp-monitored),,Follett / Helmer Scientific,4,25000,100000,,needed,,,,,,,planning,,confirmed,,equipment
3,1,Clinical Trials Participant & Procedure Infrastructure,Automated Dispensing Cabinets,,BD Pyxis / Omnicell,2,100000,200000,,needed,,,,,,,planning,,confirmed,,equipment
4,1,Clinical Trials Participant & Procedure Infrastructure,Vital Sign Monitors (High Acuity),,Philips IntelliVue / GE Carescape,10,20000,200000,,needed,,,,,,,planning,,confirmed,,equipment
5,1,Clinical Trials Participant & Procedure Infrastructure,Programmable Infusion Pumps,,Baxter / Alaris Systems,20,5000,100000,,needed,,,,,,,planning,,confirmed,,equipment
6,1,Clinical Trials Participant & Procedure Infrastructure,Resuscitation Equipment (Crash Carts/Defibs),,Zoll R Series,4,25000,100000,,needed,,,,,,,planning,,confirmed,,equipment
7,1,Clinical Trials Participant & Procedure Infrastructure,Point-of-Care Lab Analyzers,,Abbott i-STAT / Siemens RAPIDPoint,4,50000,200000,,needed,,,,,,,planning,,confirmed,,equipment
8,2,Living Biorepository & Cell Manufacturing,Automated Liquid Handling System,,Hamilton Microlab STAR / Tecan,1,650000,650000,,needed,,,,,,,planning,,confirmed,,equipment
9,2,Living Biorepository & Cell Manufacturing,GMP Bioreactors (Cell Therapy),,Cytiva Xuri / Miltenyi Prodigy,2,450000,900000,,needed,,,,,,,planning,,confirmed,,equipment
10,2,Living Biorepository & Cell Manufacturing,Automated Cell Washers/Processors,,LOVO Cell Processing System,2,120000,240000,,needed,,,,,,,planning,,confirmed,,equipment
11,2,Living Biorepository & Cell Manufacturing,Automated PSC Culture Platform,,Sartorius CompacT SelecT,1,700000,700000,,needed,,,,,,,planning,,confirmed,,equipment
12,2,Living Biorepository & Cell Manufacturing,Ultra-Low Temp Freezers (-80°C),,Thermo Fisher TSX Series,10,20000,200000,,needed,,,,,,,planning,,confirmed,,equipment
13,2,Living Biorepository & Cell Manufacturing,LN2 Vapour-Phase Storage System,,Chart MVE High Efficiency,4,50000,200000,,needed,,,,,,,planning,,confirmed,,equipment
14,2,Living Biorepository & Cell Manufacturing,Class II Biosafety Cabinets,,Baker / NuAire,6,15000,90000,,needed,,,,,,,planning,,confirmed,,equipment
15,2,Living Biorepository & Cell Manufacturing,Refrigerated Centrifuges (Biocontainment),,Beckman Coulter Avanti,4,25000,100000,,needed,,,,,,,planning,,confirmed,,equipment
16,2,Living Biorepository & Cell Manufacturing,Environmental Monitoring System,,Rees Scientific / Vaisala,1,140000,140000,,needed,,,,,,,planning,,confirmed,,equipment
17,2,Biospecimen & Cell Manufacturing,Clinical Grade Microscopes & Counters,,Keyence / Countess 3 FL,1,70000,70000,,needed,,,,,,,planning,,confirmed,,equipment
18,3,Translational Science Integration,High-Throughput Imaging Cytometer,,Amnis ImageStream / Cytiva IN Cell,1,500000,500000,,needed,,,,,,,planning,,confirmed,,equipment
19,3,Translational Science Integration,Cryo-EM Sample Prep Robotics (Vitrification),,Thermo Fisher Vitrobot / Leica EM GP2,1,150000,150000,,needed,,,,,,,planning,,confirmed,,equipment
20,3,Translational Science Integration,Plunge Freezers & Grid Prep Tools,,Gatan CP3 / Lot,1,100000,100000,,needed,,,,,,,planning,,confirmed,,equipment
21,3,Translational Science Integration,UHPLC Systems (Metabolomics/Glycomics),,Agilent 1290 Infinity II / Waters,2,150000,300000,,needed,,,,,,,planning,,confirmed,,equipment
22,3,Translational Science Integration,High-Throughput Autosamplers,,Gerstel / Agilent,2,75000,150000,,needed,,,,,,,planning,,confirmed,,equipment
23,3,Translational Science Integration,Cold-Chain Logistics Equipment,,Credo Cubes / Data Loggers,1,200000,200000,,needed,,,,,,,planning,,confirmed,,equipment
24,4,Data Platform Secure Environments AI/HPC,CRAIDL Inference Servers,"Production inference for 8 CRAIDL AI agents; 24/7 availability for real-time clinical trial support. Development/training on SDRE.",NVIDIA L40S / A100 Inference,2,100000,200000,,needed,,,,,,,planning,,confirmed,,equipment
25,4,Data Platform Secure Environments AI/HPC,TRE Zone 2 Operational Storage,"Fast operational tier for TRE Zone 2 processing (OMOP ETL, CDISC transforms). Bulk storage on SDRE.",Dell PowerScale / NetApp (NVMe),1,150000,150000,,needed,,,,,,,planning,,confirmed,,equipment
