,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Equipment List for Alberta Diabetes Institute - Clinical Research Unit,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Item,Quote No.,Description,Supplier,Unit Cost,No.,Subtotal ,GST,Delivery,Total,,,,,
,,,,,,,,,,,,,,
1,116025,Pharmacy Refrigerator,Fisher Scientific," 10,121.55 ",2," 20,243.10 "," 1,012.16 ",incl.," 21,255.26 ",,,,,
2,116025,Remote Monitoring (for item 1),Fisher Scientific," 1,142.56 ",2," 2,285.12 ", 114.26 ,incl.," 2,399.38 ",,,,,
3,116025,"Monitoring Subscription, 5y (for item 1)",Fisher Scientific," 1,326.96 ",2," 2,653.92 ", 132.70 ,incl.," 2,786.62 ",,,,,
4,116025,"Extended Warranty, 5y (for item 1)",Fisher Scientific," 4,048.62 ",2," 8,097.24 ", 404.86 ,incl.," 8,502.10 ",,,,,
5,2026-0113-002,Bariatric Hospital Bed w/Mattress,Mobility Specialties Inc.," 3,135.07 ",3," 9,405.21 ", 470.26 ,incl.," 9,875.47 ",,,,,
6,2026-0113-004,Bariatric Exam Tables,McKesson Canada," 5,000.00 ",4," 20,000.00 "," 1,060.00 "," 1,200.00 "," 22,260.00 ",,,,,
7,2026-0113-001,"Bariatric Chairs for Exam Rooms, Reception",Wayfair Canada, 483.40 ,8," 3,867.20 ", 193.36 ,incl.," 4,060.56 ",,,,,
8,2026-0113-005,Wall mounted Smart TVs for Dayward and Reception,Best Buy Canada Ltd.," 2,799.99 ",4," 11,199.96 ", 590.00 , 600.00 ," 12,389.96 ",,,,,
9,CLAR-002,Ultrasound for Guiding Phlebotomy,ABC Medical Imaging Solutions Inc.," 7,105.00 ",1," 7,105.00 ", 362.75 , 150.00 ," 7,617.75 ",,,,,
10,2026-0114-001,Ultrasound-compatible vascular access task trainer arm,Simulab Corporation," 5,399.00 ",1," 5,399.00 ", 287.45 ,350.00    (est.)," 6,036.45 ",,,,,
11,2026-0113-003,Vital Signs Monitor,Baxter Canada," 4,200.00 ",4," 16,800.00 ", 870.00 , 600.00 ," 18,270.00 ",,,,,
12,HIS-001,Refrigerator/Freezer,Smart Appliances Canada Ltd., 749.99 ,1, 749.99 , 45.00 , 150.00 , 944.99 ,,,,,
13,2026-003-REV1,Electrocardiogram,Baxter Canada," 6,307.65 ",1," 6,307.65 ", 330.38 , 300.00 ," 6,938.03 ",,,,,
14,DET-001,Bariatric Scale,Help Medical Supplies," 4,512.04 ",1," 4,512.04 ", 233.10 , 150.00 ," 4,895.14 ",,,,,
,,,,,,,,,,,,,,
,,,,,,,,Total," 128,231.70 ",,,,,
,,,, Prepared by Vince Rogers (vince.rogers@ualberta.ca) ,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
